,year,level,type,teacher_value,pupil_value,subcounty
0,2019,Secondary,Private,9,167,Galiraya
1,2022,Secondary,Government,36,260,Bbaale
2,2018,Secondary,Private,5,199,Bbaale
3,2022,Primary,Private,9,25,Bbaale
4,2021,Primary,Private,50,105,Kayonza
5,2019,Primary,Private,21,240,Kayonza
6,2021,Primary,Government,43,197,Kitimbwa
7,2022,Secondary,Government,20,213,Galiraya
8,2019,Secondary,Private,9,25,Kayonza
9,2019,Secondary,Private,11,167,Kitimbwa
10,2022,Primary,Government,2,378,Bbaale
11,2019,Secondary,Government,36,100,Busaana
12,2022,Secondary,Government,15,500,Kayunga
13,2022,Secondary,Private,13,213,Galiraya
14,2019,Secondary,Private,38,55,Busaana
15,2020,Secondary,Private,36,400,Kayunga Town Council
16,2019,Secondary,Private,30,50,Kayonza
17,2022,Secondary,Private,8,30,Busaana
18,2018,Secondary,Government,18,250,Kayunga Town Council
19,2022,Primary,Private,11,278,Galiraya
20,2020,Secondary,Private,43,65,Kitimbwa
21,2022,Primary,Government,9,40,Kayonza
22,2021,Primary,Government,34,60,Kitimbwa
23,2021,Secondary,Government,43,456,Kayonza
24,2022,Primary,Private,18,278,Busaana
25,2018,Secondary,Private,41,50,Kitimbwa
26,2021,Primary,Private,36,75,Bbaale
27,2018,Primary,Government,5,203,Bbaale
28,2018,Primary,Government,11,456,Galiraya
29,2021,Primary,Private,20,102,Kayunga
30,2021,Secondary,Government,13,199,Galiraya
31,2021,Secondary,Private,38,45,Kitimbwa
32,2018,Secondary,Government,34,45,Bbaale
33,2019,Primary,Private,43,105,Kayunga Town Council
34,2021,Secondary,Private,20,85,Bbaale
35,2018,Secondary,Private,8,105,Kayonza
36,2019,Primary,Private,34,45,Bbaale
37,2022,Primary,Private,10,400,Kayonza
38,2022,Secondary,Private,9,70,Kayunga Town Council
39,2020,Primary,Private,11,35,Bbaale
40,2018,Secondary,Private,13,65,Kayunga Town Council
41,2019,Secondary,Government,12,65,Busaana
42,2018,Secondary,Government,33,65,Kayunga
43,2022,Secondary,Private,38,150,Kayunga Town Council
44,2021,Secondary,Private,11,167,Kitimbwa
45,2020,Secondary,Private,15,50,Busaana
46,2018,Primary,Private,33,70,Bbaale
47,2021,Secondary,Private,36,55,Kayunga
48,2019,Secondary,Private,11,50,Kayunga
49,2021,Primary,Government,20,378,Galiraya
50,2018,Secondary,Government,8,110,Kitimbwa
51,2020,Primary,Government,15,80,Kayunga Town Council
52,2020,Primary,Private,8,167,Kayunga Town Council
53,2020,Secondary,Private,55,95,Kayunga
54,2020,Primary,Government,11,20,Busaana
55,2022,Secondary,Private,8,65,Kayunga
56,2021,Primary,Government,55,65,Kitimbwa
57,2020,Secondary,Government,20,30,Kitimbwa
58,2022,Primary,Government,13,199,Kayonza
59,2020,Primary,Private,21,95,Busaana
60,2018,Secondary,Government,12,213,Kayonza
61,2019,Primary,Government,33,194,Kayunga
62,2021,Primary,Government,15,345,Busaana
63,2020,Secondary,Government,11,378,Kayunga Town Council
64,2019,Secondary,Government,40,55,Galiraya
65,2022,Primary,Private,11,150,Kitimbwa
66,2021,Primary,Private,41,60,Kayunga Town Council
67,2018,Primary,Government,43,195,Kayunga
68,2022,Secondary,Private,10,167,Kayonza
69,2022,Secondary,Government,15,80,Kayunga
70,2022,Primary,Private,11,95,Busaana
71,2022,Primary,Government,9,55,Kayunga
72,2018,Primary,Private,21,60,Bbaale
73,2021,Primary,Government,2,167,Busaana
74,2020,Primary,Government,34,85,Galiraya
75,2021,Secondary,Government,9,20,Galiraya
76,2021,Primary,Government,43,345,Galiraya
77,2018,Secondary,Private,41,300,Bbaale
78,2018,Secondary,Private,18,85,Bbaale
79,2019,Primary,Government,50,345,Busaana
80,2022,Primary,Private,2,199,Galiraya
81,2019,Secondary,Private,5,150,Kayunga Town Council
82,2020,Primary,Government,40,345,Kayonza
83,2018,Primary,Government,50,278,Bbaale
84,2019,Secondary,Private,18,90,Bbaale
85,2022,Secondary,Government,9,40,Kayunga Town Council
86,2022,Primary,Private,9,10,Bbaale
87,2020,Secondary,Government,20,25,Kayunga
88,2020,Secondary,Government,12,80,Busaana
89,2020,Primary,Private,9,20,Busaana
90,2020,Secondary,Private,9,25,Kitimbwa
91,2020,Secondary,Government,15,70,Kayunga
92,2019,Secondary,Government,9,20,Galiraya
93,2021,Primary,Private,2,194,Kayunga Town Council
94,2021,Primary,Government,21,45,Kayunga
95,2022,Secondary,Government,11,199,Bbaale
96,2019,Secondary,Government,5,50,Kayonza
97,2022,Secondary,Private,15,180,Kayunga
98,2022,Secondary,Private,30,85,Bbaale
