,year,level,type,classroom_capacity,pupil_value,subcounty
0,2020,Secondary,Private,60,90,Galiraya
1,2022,Secondary,Private,70,75,Bbaale
2,2018,Secondary,Government,11,80,Kangulumira
3,2020,Primary,Government,34,167,Galiraya
4,2018,Secondary,Government,10,500,Kitimbwa
5,2022,Primary,Government,31,300,Bbaale
6,2020,Secondary,Private,40,55,Busaana
7,2019,Primary,Private,100,345,Kayunga
8,2018,Secondary,Government,28,102,Kangulumira
9,2020,Secondary,Government,22,378,Bbaale
10,2018,Primary,Government,21,194,Kayunga
11,2019,Primary,Private,20,260,Kayunga
12,2018,Primary,Government,29,45,Kayunga
13,2018,Secondary,Private,90,300,Kayunga Town Council
14,2019,Secondary,Government,25,35,Kangulumira
15,2019,Secondary,Private,40,60,Kayunga
16,2022,Primary,Private,80,85,Kangulumira
17,2022,Secondary,Private,40,400,Kangulumira
18,2020,Primary,Government,36,45,Kangulumira
19,2021,Secondary,Private,20,95,Kayunga Town Council
20,2021,Secondary,Government,36,300,Galiraya
21,2020,Primary,Private,70,500,Kayunga Town Council
22,2018,Secondary,Private,50,400,Kitimbwa
23,2018,Primary,Private,40,300,Kitimbwa
24,2018,Primary,Government,43,30,Kayunga
25,2018,Secondary,Private,30,456,Kayunga Town Council
26,2018,Secondary,Private,20,213,Bbaale
27,2020,Primary,Government,17,75,Kayunga
28,2022,Primary,Private,90,197,Galiraya
29,2020,Primary,Government,49,199,Kayunga Town Council
30,2022,Secondary,Private,30,197,Kitimbwa
31,2020,Primary,Private,100,456,Kayunga Town Council
32,2022,Primary,Private,60,378,Busaana
33,2021,Primary,Government,40,90,Kitimbwa
34,2022,Secondary,Government,13,85,Kangulumira
35,2022,Primary,Government,44,150,Bbaale
36,2021,Primary,Private,70,150,Kitimbwa
37,2021,Secondary,Private,30,30,Busaana
38,2022,Secondary,Private,20,197,Bbaale
39,2020,Primary,Government,14,55,Kangulumira
40,2020,Primary,Private,20,80,Kitimbwa
41,2019,Primary,Government,48,213,Busaana
42,2019,Secondary,Government,33,80,Kayunga Town Council
43,2018,Secondary,Government,10,194,Kayunga
44,2021,Primary,Government,49,378,Kitimbwa
45,2018,Secondary,Private,100,197,Busaana
46,2021,Primary,Private,70,278,Busaana
47,2020,Secondary,Private,70,55,Kangulumira
48,2020,Secondary,Government,41,70,Kayunga Town Council
49,2022,Primary,Private,60,278,Kangulumira
50,2022,Primary,Government,20,95,Kayunga Town Council
51,2019,Secondary,Government,42,378,Kitimbwa
52,2022,Secondary,Private,80,180,Galiraya
53,2020,Secondary,Private,60,102,Kitimbwa
54,2022,Secondary,Government,44,65,Kitimbwa
55,2019,Secondary,Private,100,150,Busaana
56,2018,Secondary,Government,49,75,Galiraya
57,2022,Primary,Private,40,65,Kayunga
58,2021,Primary,Private,60,260,Kitimbwa
59,2019,Primary,Private,40,80,Kangulumira
60,2020,Secondary,Private,50,200,Kayunga
61,2020,Secondary,Private,100,240,Bbaale
62,2020,Primary,Government,49,55,Kitimbwa
63,2019,Primary,Private,20,456,Kangulumira
64,2019,Primary,Government,12,180,Galiraya
65,2020,Primary,Government,15,150,Kayunga Town Council
66,2018,Primary,Private,40,150,Bbaale
67,2021,Secondary,Private,60,150,Kangulumira
68,2020,Primary,Private,100,180,Galiraya
69,2022,Secondary,Government,30,20,Bbaale
70,2020,Secondary,Private,40,55,Kitimbwa
71,2021,Secondary,Government,42,85,Bbaale
72,2020,Secondary,Government,16,110,Kayunga Town Council
73,2018,Primary,Government,32,345,Galiraya
74,2020,Primary,Government,36,30,Kangulumira
75,2021,Secondary,Government,28,55,Kangulumira
76,2018,Secondary,Government,19,378,Busaana
77,2018,Primary,Private,50,75,Busaana
78,2019,Secondary,Government,17,75,Kitimbwa
79,2022,Secondary,Government,49,100,Kitimbwa
80,2021,Primary,Private,70,25,Galiraya
81,2019,Primary,Government,49,240,Galiraya
82,2022,Primary,Private,90,60,Galiraya
83,2021,Secondary,Private,90,55,Kayunga Town Council
84,2020,Primary,Private,100,197,Bbaale
85,2022,Primary,Private,50,70,Galiraya
86,2020,Secondary,Government,23,500,Busaana
87,2019,Secondary,Private,50,30,Kitimbwa
88,2019,Primary,Private,100,260,Kangulumira
89,2019,Primary,Private,40,300,Kayunga
90,2022,Primary,Government,44,100,Busaana
91,2019,Primary,Private,80,90,Busaana
92,2022,Secondary,Private,60,300,Kitimbwa
93,2021,Primary,Government,40,278,Kayunga Town Council
94,2022,Secondary,Government,12,500,Busaana
95,2022,Secondary,Private,50,10,Kangulumira
96,2018,Secondary,Government,36,10,Bbaale
97,2020,Primary,Government,23,55,Galiraya
98,2020,Secondary,Private,30,150,Busaana
99,2022,Primary,Government,49,95,Kayunga Town Council
100,2019,Primary,Private,60,167,Kayunga
101,2022,Secondary,Private,50,75,Bbaale
102,2019,Primary,Government,30,50,Bbaale
103,2020,Secondary,Government,35,45,Kayunga
104,2019,Secondary,Private,20,194,Galiraya
105,2019,Primary,Government,40,102,Kayunga
106,2018,Secondary,Private,90,378,Galiraya
107,2021,Secondary,Private,20,95,Kangulumira
108,2021,Secondary,Private,40,85,Bbaale
109,2020,Secondary,Private,20,95,Galiraya
110,2018,Primary,Private,70,25,Kayunga Town Council
111,2020,Primary,Private,80,199,Bbaale
112,2019,Primary,Government,13,150,Kayunga Town Council
113,2021,Primary,Private,60,456,Kangulumira
114,2018,Primary,Private,70,50,Galiraya
115,2019,Secondary,Government,18,199,Kangulumira
116,2022,Secondary,Government,11,102,Kayunga
117,2020,Primary,Private,80,20,Galiraya
118,2020,Primary,Private,40,345,Bbaale
119,2021,Primary,Government,41,199,Kangulumira
120,2018,Secondary,Private,80,203,Kangulumira
121,2019,Primary,Private,70,240,Kayunga Town Council
122,2022,Primary,Private,50,194,Busaana
123,2022,Secondary,Private,100,85,Busaana
124,2022,Secondary,Private,60,25,Kangulumira
125,2021,Primary,Private,20,40,Galiraya
126,2022,Primary,Government,40,278,Galiraya
127,2021,Secondary,Private,90,95,Kangulumira
128,2021,Primary,Private,80,80,Busaana
129,2021,Primary,Government,47,180,Kitimbwa
130,2021,Primary,Government,31,102,Bbaale
131,2018,Secondary,Government,26,80,Busaana
132,2019,Primary,Government,19,110,Kangulumira
133,2020,Secondary,Government,13,345,Bbaale
134,2022,Secondary,Government,32,500,Galiraya
135,2019,Primary,Private,50,203,Kayunga Town Council
136,2022,Secondary,Government,17,167,Kayunga Town Council
137,2021,Secondary,Private,20,50,Kitimbwa
138,2018,Primary,Private,100,178,Kangulumira
139,2021,Primary,Private,20,250,Kitimbwa
140,2021,Primary,Private,20,213,Kayunga Town Council
141,2019,Primary,Government,26,75,Kayunga
142,2018,Primary,Government,27,195,Bbaale
143,2022,Primary,Government,13,50,Kangulumira
144,2020,Secondary,Private,20,203,Kayunga
145,2019,Primary,Government,24,345,Kayunga
146,2021,Secondary,Government,11,25,Kitimbwa
147,2019,Primary,Private,50,45,Kangulumira
148,2018,Primary,Government,26,10,Kangulumira
149,2019,Secondary,Private,20,500,Galiraya
150,2021,Primary,Private,90,120,Kayunga
151,2018,Primary,Government,42,167,Kayunga Town Council
152,2020,Primary,Government,37,30,Galiraya
153,2021,Secondary,Government,25,278,Busaana
154,2021,Primary,Government,30,250,Galiraya
155,2018,Primary,Government,36,85,Kitimbwa
156,2019,Secondary,Private,40,10,Kangulumira
157,2018,Secondary,Private,50,75,Galiraya
158,2019,Primary,Government,47,378,Busaana
159,2019,Secondary,Private,40,195,Galiraya
160,2018,Primary,Private,20,50,Kitimbwa
161,2020,Primary,Private,90,20,Kitimbwa
162,2020,Primary,Private,100,178,Kayunga
163,2018,Primary,Government,49,85,Kayunga Town Council
164,2020,Secondary,Private,50,194,Bbaale
165,2019,Primary,Private,40,199,Galiraya
166,2020,Primary,Government,26,199,Kayunga Town Council
167,2021,Secondary,Private,80,167,Kitimbwa
168,2021,Secondary,Private,40,30,Galiraya
169,2020,Secondary,Private,50,110,Galiraya
170,2021,Secondary,Private,100,102,Kangulumira
171,2019,Primary,Private,80,213,Galiraya
172,2018,Secondary,Government,15,120,Kayunga
173,2021,Primary,Government,45,55,Kayunga
174,2019,Secondary,Private,20,240,Kangulumira
175,2019,Secondary,Government,11,150,Galiraya
176,2020,Primary,Government,46,195,Kayunga
177,2018,Primary,Government,44,300,Busaana
178,2018,Primary,Private,100,90,Kayunga
179,2019,Primary,Government,12,50,Kayunga Town Council
180,2022,Primary,Private,40,178,Kitimbwa
181,2022,Primary,Private,50,180,Kangulumira
182,2020,Primary,Private,50,10,Kayunga Town Council
183,2021,Secondary,Private,30,500,Kayunga Town Council
184,2019,Secondary,Government,37,35,Bbaale
185,2019,Primary,Private,70,150,Kayunga
186,2019,Secondary,Government,28,378,Bbaale
187,2019,Secondary,Government,18,178,Kayunga Town Council
188,2021,Primary,Government,17,110,Bbaale
189,2019,Secondary,Government,39,250,Kayunga
190,2019,Secondary,Government,37,60,Bbaale
191,2020,Primary,Government,44,85,Kitimbwa
192,2021,Secondary,Private,20,100,Busaana
193,2021,Primary,Private,40,30,Busaana
194,2018,Secondary,Government,38,197,Kangulumira
195,2018,Primary,Private,70,240,Kayunga
196,2022,Primary,Private,20,75,Galiraya
197,2021,Primary,Government,33,65,Kayunga Town Council
198,2018,Primary,Private,70,120,Kayunga Town Council
199,2020,Primary,Private,100,95,Kayunga
200,2018,Secondary,Government,34,260,Kayunga Town Council
201,2020,Secondary,Private,20,102,Kitimbwa
202,2021,Secondary,Government,33,197,Kayunga
203,2019,Primary,Government,21,213,Kitimbwa
204,2022,Secondary,Government,30,90,Kitimbwa
205,2022,Secondary,Private,80,167,Kitimbwa
206,2021,Secondary,Private,20,105,Kayunga
207,2019,Secondary,Private,40,100,Bbaale
208,2018,Secondary,Government,32,167,Kangulumira
209,2020,Primary,Private,90,378,Kitimbwa
210,2019,Secondary,Private,30,120,Kayunga
211,2020,Secondary,Private,70,197,Kayunga Town Council
212,2018,Primary,Government,45,85,Kangulumira
