,year,level,type,value,subcounty
0,2018,Secondary,Private,2,Galiraya
1,2021,Primary,Government,12,Bbaale
2,2021,Secondary,Private,10,Kayonza
3,2021,Primary,Private,43,Bbaale
4,2022,Secondary,Private,9,Kitimbwa
5,2018,Secondary,Private,55,Busaana
6,2020,Primary,Private,8,Galiraya
7,2019,Secondary,Government,12,Bbaale
8,2021,Primary,Government,40,Kitimbwa
9,2018,Secondary,Private,20,Kayonza
10,2021,Secondary,Government,2,Busaana
11,2021,Primary,Private,34,Galiraya
12,2019,Secondary,Government,9,Kayunga
13,2021,Secondary,Government,20,Bbaale
14,2021,Primary,Government,50,Kitimbwa
15,2020,Primary,Government,12,Bbaale
16,2022,Secondary,Private,30,Kitimbwa
17,2018,Secondary,Private,34,Kayunga Town Council
18,2019,Secondary,Private,36,Kayunga
19,2021,Secondary,Government,40,Kitimbwa
20,2022,Primary,Private,40,Busaana
21,2018,Primary,Government,55,Kayonza
22,2021,Secondary,Private,18,Galiraya
23,2018,Primary,Private,50,Kayunga Town Council
24,2021,Primary,Private,12,Bbaale
25,2021,Primary,Private,36,Busaana
26,2021,Secondary,Private,34,Busaana
27,2019,Primary,Private,2,Galiraya
28,2018,Secondary,Government,18,Kayunga Town Council
29,2021,Secondary,Private,2,Kayunga Town Council
30,2020,Secondary,Government,21,Kitimbwa
31,2021,Primary,Government,15,Kayunga Town Council
32,2019,Primary,Government,33,Bbaale
33,2022,Primary,Government,21,Kayunga
34,2021,Primary,Government,55,Kitimbwa
35,2019,Secondary,Government,33,Kayonza
36,2018,Primary,Private,2,Kayonza
37,2021,Secondary,Government,43,Kitimbwa
38,2019,Primary,Government,10,Kayonza
39,2018,Secondary,Government,40,Kayunga Town Council
40,2021,Secondary,Government,15,Kayunga Town Council
41,2022,Secondary,Private,30,Bbaale
42,2018,Secondary,Private,5,Busaana
43,2019,Primary,Government,34,Galiraya
44,2018,Primary,Private,19,Galiraya
45,2019,Primary,Government,21,Kayunga
46,2021,Secondary,Government,40,Kitimbwa
47,2020,Secondary,Government,30,Busaana
48,2021,Primary,Private,10,Kayunga Town Council
49,2022,Primary,Private,33,Galiraya
50,2022,Primary,Government,33,Busaana
51,2021,Primary,Private,18,Kayonza
52,2020,Secondary,Private,55,Galiraya
53,2019,Primary,Government,13,Kayonza
54,2018,Secondary,Private,33,Busaana
55,2018,Primary,Government,55,Kayonza
56,2018,Secondary,Government,19,Busaana
57,2018,Secondary,Government,13,Kitimbwa
58,2018,Primary,Private,10,Kayunga Town Council
59,2022,Secondary,Government,43,Kayunga Town Council
60,2020,Primary,Government,55,Kitimbwa
61,2022,Primary,Private,21,Bbaale
62,2019,Secondary,Private,34,Busaana
63,2019,Primary,Government,9,Bbaale
64,2021,Secondary,Government,18,Kayunga Town Council
65,2022,Secondary,Private,18,Bbaale
66,2021,Primary,Government,33,Kayonza
67,2020,Secondary,Private,50,Galiraya
68,2020,Primary,Government,13,Busaana
69,2020,Secondary,Government,40,Galiraya
70,2022,Secondary,Private,21,Kayonza
71,2021,Primary,Government,30,Kitimbwa
72,2022,Secondary,Government,55,Kayunga
73,2020,Secondary,Private,55,Galiraya
74,2020,Primary,Government,40,Kayonza
75,2022,Primary,Private,10,Kayunga
76,2021,Primary,Private,21,Kayunga Town Council
77,2019,Primary,Government,41,Kayunga Town Council
