,year,level,type,value,subcounty
0,2021,Secondary,Government,60,Galiraya
1,2020,Secondary,Government,50,Bbaale
2,2018,Secondary,Government,55,Kayonza
3,2019,Primary,Private,2,Kitimbwa
4,2020,Primary,Private,5,Busaana
5,2018,Primary,Government,2,Busaana
6,2019,Primary,Private,4,Galiraya
7,2020,Primary,Government,0,Kayonza
8,2022,Secondary,Private,1,Bbaale
9,2020,Secondary,Private,40,Kayunga
10,2020,Primary,Private,40,Nazigo
11,2018,Primary,Private,98,Bbaale
12,2021,Primary,Government,12,Kayunga Town Council
13,2019,Primary,Government,13,Kayonza
14,2022,Primary,Government,5,Nazigo
15,2021,Primary,Government,12,Galiraya
16,2019,Primary,Private,70,Busaana
17,2022,Primary,Private,40,Mutunda
18,2019,Secondary,Private,34,Buliisa
19,2020,Primary,Private,45,Kigumba
20,2022,Secondary,Government,56,Busaana
21,2020,Primary,Private,40,Biiso
22,2020,Primary,Government,73,Buliisa
23,2019,Primary,Private,56,Kitimbwa
24,2020,Primary,Private,34,Kangulumira
25,2018,Secondary,Private,60,Nazigo
26,2019,Primary,Private,67,Kigumba
27,2020,Secondary,Government,73,Kayonza
28,2020,Secondary,Private,45,Busaana
29,2020,Secondary,Private,22,Kangulumira
30,2020,Secondary,Private,12,Busaana
31,2021,Secondary,Government,73,Kitimbwa
32,2020,Primary,Private,56,Buliisa
33,2019,Secondary,Private,344,Bbaale
34,2021,Primary,Private,20,Mutunda
35,2018,Secondary,Private,22,Kangulumira
36,2021,Primary,Government,56,Busaana
37,2018,Primary,Private,20,Galiraya
38,2022,Primary,Government,22,Biiso
39,2019,Primary,Government,344,Galiraya
40,2019,Primary,Private,12,Kangulumira
41,2020,Primary,Government,0,Bbaale
42,2018,Secondary,Government,10,Galiraya
43,2019,Secondary,Government,12,Kayunga
44,2021,Primary,Private,300,Mutunda
45,2022,Secondary,Private,300,Galiraya
46,2021,Secondary,Private,34,Kigumba
47,2019,Secondary,Government,73,Bbaale
48,2022,Primary,Government,8,Kitimbwa
49,2021,Primary,Government,50,Kayunga
50,2019,Secondary,Private,344,Buliisa
51,2020,Primary,Government,4,Kigumba
52,2019,Secondary,Private,70,Mutunda
53,2022,Secondary,Government,60,Kitimbwa
54,2021,Primary,Private,12,Nazigo
55,2021,Secondary,Private,100,Kayunga Town Council
56,2020,Secondary,Private,34,Kayunga Town Council
57,2020,Secondary,Government,56,Kayunga
58,2022,Primary,Government,34,Kayonza
59,2020,Primary,Government,56,Busaana
60,2020,Primary,Government,20,Kayonza
61,2020,Primary,Government,1,Kangulumira
62,2018,Primary,Private,98,Nazigo
63,2018,Primary,Government,67,Kayunga
64,2021,Primary,Government,2,Mutunda
65,2021,Primary,Private,60,Galiraya
66,2022,Primary,Government,20,Kitimbwa
67,2020,Secondary,Private,20,Kigumba
68,2018,Secondary,Government,8,Kangulumira
69,2022,Primary,Private,55,Mutunda
70,2020,Secondary,Private,100,Mutunda
71,2021,Secondary,Private,10,Kayonza
72,2020,Primary,Private,98,Kigumba
73,2019,Primary,Private,70,Nazigo
74,2018,Secondary,Government,100,Bbaale
75,2018,Primary,Private,45,Nazigo
76,2021,Secondary,Government,0,Kayunga Town Council
77,2020,Primary,Government,13,Galiraya
78,2022,Primary,Government,99,Kayunga Town Council
79,2021,Secondary,Government,12,Kigumba
80,2021,Secondary,Government,22,Kigumba
81,2019,Primary,Private,11,Kayunga
82,2019,Secondary,Private,300,Biiso
83,2020,Primary,Private,22,Buliisa
84,2018,Secondary,Private,60,Kitimbwa
85,2019,Secondary,Private,22,Nazigo
86,2020,Secondary,Private,55,Buliisa
87,2019,Primary,Government,2,Kitimbwa
88,2021,Primary,Private,60,Galiraya
89,2021,Secondary,Private,99,Kayunga
90,2022,Secondary,Private,34,Kitimbwa
91,2020,Secondary,Private,70,Biiso
92,2021,Secondary,Government,45,Kayonza
93,2021,Secondary,Government,98,Kayonza
94,2019,Primary,Government,50,Nazigo
95,2019,Secondary,Private,60,Mutunda
96,2022,Primary,Private,67,Biiso
97,2020,Primary,Private,2,Busaana
98,2019,Secondary,Private,98,Kitimbwa
99,2022,Primary,Government,1,Biiso
100,2020,Primary,Government,98,Busaana
101,2019,Primary,Private,24,Bbaale
102,2019,Secondary,Government,24,Kitimbwa
103,2022,Secondary,Private,5,Busaana
104,2021,Secondary,Government,50,Kitimbwa
105,2018,Secondary,Government,99,Kigumba
106,2021,Secondary,Private,1,Kitimbwa
107,2020,Primary,Private,20,Kangulumira
108,2018,Primary,Private,70,Kayonza
109,2020,Primary,Private,98,Kayunga Town Council
110,2019,Secondary,Government,73,Kigumba
111,2022,Secondary,Government,73,Biiso
112,2021,Primary,Government,89,Kitimbwa
113,2019,Secondary,Private,24,Buliisa
114,2021,Primary,Private,0,Kangulumira
115,2018,Secondary,Government,2,Buliisa
116,2018,Secondary,Government,11,Kayunga Town Council
117,2018,Primary,Private,8,Kangulumira
118,2020,Secondary,Private,45,Kayunga
119,2022,Secondary,Private,34,Kayunga Town Council
120,2021,Secondary,Private,11,Kayunga Town Council
121,2018,Secondary,Government,24,Galiraya
122,2021,Secondary,Government,344,Galiraya
123,2019,Secondary,Private,89,Kayunga Town Council
124,2022,Secondary,Government,70,Kigumba
125,2022,Secondary,Private,70,Bbaale
126,2021,Secondary,Government,99,Kitimbwa
127,2018,Primary,Private,40,Kayonza
128,2022,Secondary,Private,5,Kayunga
129,2020,Primary,Government,13,Biiso
130,2020,Primary,Private,12,Bbaale
131,2020,Primary,Private,344,Mutunda
132,2018,Secondary,Private,300,Kangulumira
133,2022,Primary,Government,20,Mutunda
134,2018,Secondary,Private,0,Kayunga Town Council
135,2021,Secondary,Private,56,Buliisa
136,2019,Primary,Government,5,Kigumba
137,2022,Secondary,Government,300,Mutunda
138,2019,Secondary,Government,56,Kangulumira
139,2019,Secondary,Private,60,Kayonza
140,2022,Primary,Private,100,Biiso
141,2022,Secondary,Private,1,Kayunga Town Council
142,2019,Primary,Private,60,Biiso
143,2020,Primary,Private,24,Buliisa
144,2021,Primary,Government,13,Nazigo
145,2022,Primary,Government,70,Mutunda
146,2021,Primary,Private,67,Kitimbwa
147,2022,Secondary,Private,22,Mutunda
148,2019,Secondary,Government,20,Kitimbwa
149,2020,Secondary,Private,56,Mutunda
150,2019,Primary,Government,56,Kayunga Town Council
151,2022,Primary,Government,2,Nazigo
152,2022,Primary,Private,70,Kitimbwa
153,2018,Secondary,Private,5,Busaana
154,2018,Primary,Private,99,Kayonza
155,2020,Secondary,Private,300,Bbaale
156,2021,Primary,Government,4,Nazigo
157,2018,Primary,Private,1,Kigumba
158,2019,Primary,Private,45,Kangulumira
159,2021,Primary,Government,45,Kigumba
160,2019,Secondary,Private,300,Kigumba
161,2021,Secondary,Government,20,Busaana
162,2021,Primary,Government,73,Kayunga Town Council
163,2018,Primary,Private,40,Kitimbwa
164,2021,Primary,Government,55,Buliisa
165,2022,Primary,Government,13,Biiso
166,2019,Primary,Private,11,Galiraya
167,2020,Primary,Government,1,Nazigo
168,2022,Secondary,Government,20,Kitimbwa
169,2021,Secondary,Government,344,Mutunda
170,2020,Primary,Government,67,Mutunda
171,2018,Secondary,Government,344,Kangulumira
172,2018,Secondary,Government,100,Kayunga
173,2021,Secondary,Private,99,Kayonza
174,2018,Secondary,Private,98,Nazigo
175,2019,Secondary,Private,20,Kayonza
176,2020,Secondary,Private,1,Kayonza
177,2021,Primary,Private,56,Galiraya
178,2021,Secondary,Private,5,Kangulumira
179,2021,Secondary,Private,2,Busaana
180,2021,Secondary,Private,34,Nazigo
181,2022,Secondary,Government,70,Nazigo
182,2019,Secondary,Government,20,Kayonza
183,2019,Secondary,Private,4,Kangulumira
184,2022,Primary,Government,40,Buliisa
185,2018,Secondary,Government,60,Kitimbwa
186,2021,Primary,Government,56,Kigumba
187,2018,Secondary,Private,8,Buliisa
188,2022,Secondary,Government,20,Galiraya
189,2022,Secondary,Government,55,Galiraya
190,2020,Secondary,Government,11,Biiso
191,2021,Secondary,Government,13,Busaana
192,2018,Primary,Government,11,Galiraya
193,2021,Primary,Government,10,Nazigo
194,2020,Primary,Private,98,Kigumba
195,2020,Primary,Private,55,Kangulumira
196,2018,Secondary,Private,8,Nazigo
197,2018,Primary,Government,40,Kayonza
198,2022,Secondary,Government,55,Nazigo
199,2019,Secondary,Government,89,Mutunda
200,2021,Secondary,Private,70,Kayonza
201,2020,Secondary,Government,20,Kitimbwa
202,2022,Primary,Private,70,Biiso
203,2021,Primary,Government,11,Kitimbwa
204,2019,Secondary,Private,5,Kayunga
205,2021,Secondary,Government,100,Buliisa
206,2022,Secondary,Government,11,Mutunda
207,2022,Primary,Government,20,Busaana
208,2021,Secondary,Government,1,Biiso
209,2022,Secondary,Private,56,Nazigo
210,2022,Primary,Government,22,Kayunga Town Council
211,2022,Secondary,Government,99,Buliisa
212,2019,Secondary,Private,56,Busaana
213,2020,Primary,Government,40,Kayunga Town Council
214,2018,Primary,Private,10,Kangulumira
215,2021,Primary,Government,4,Kitimbwa
216,2020,Primary,Private,344,Kangulumira
217,2021,Secondary,Private,300,Kayunga Town Council
218,2021,Secondary,Private,40,Galiraya
219,2020,Primary,Government,344,Kayunga
220,2020,Primary,Government,20,Kangulumira
221,2019,Secondary,Private,22,Kayunga
222,2022,Secondary,Private,60,Buliisa
223,2019,Primary,Private,100,Mutunda
224,2018,Primary,Private,4,Nazigo
225,2021,Secondary,Private,20,Kayonza
226,2019,Secondary,Government,5,Kitimbwa
227,2019,Primary,Government,100,Buliisa
228,2019,Secondary,Private,10,Biiso
229,2022,Primary,Government,40,Nazigo
230,2022,Primary,Private,300,Kayunga Town Council
231,2018,Primary,Government,70,Galiraya
232,2021,Secondary,Private,56,Kangulumira
233,2022,Primary,Government,56,Kangulumira
234,2019,Secondary,Government,12,Bbaale
235,2022,Primary,Government,8,Kangulumira
236,2018,Secondary,Private,12,Kayunga
237,2018,Primary,Government,22,Busaana
238,2018,Primary,Private,99,Kitimbwa
239,2020,Primary,Private,0,Galiraya
240,2021,Secondary,Private,24,Biiso
241,2020,Secondary,Private,5,Busaana
242,2020,Secondary,Private,8,Nazigo
243,2021,Secondary,Government,8,Buliisa
244,2020,Primary,Private,34,Galiraya
245,2018,Secondary,Private,12,Mutunda
246,2019,Primary,Government,34,Mutunda
247,2022,Primary,Government,24,Kitimbwa
248,2020,Secondary,Private,50,Kayonza
249,2022,Secondary,Government,70,Kayunga Town Council
250,2020,Secondary,Government,70,Kayunga
251,2020,Primary,Government,5,Kigumba
252,2018,Primary,Government,8,Biiso
253,2021,Primary,Private,1,Kigumba
254,2019,Secondary,Private,344,Kangulumira
255,2018,Primary,Private,89,Buliisa
256,2019,Primary,Government,0,Busaana
257,2018,Secondary,Private,99,Mutunda
258,2019,Secondary,Private,20,Kayunga Town Council
259,2020,Primary,Government,12,Bbaale
260,2021,Primary,Government,12,Kitimbwa
261,2018,Primary,Government,45,Galiraya
262,2019,Primary,Government,89,Kayonza
263,2022,Secondary,Private,98,Busaana
264,2022,Secondary,Government,73,Kayunga
265,2018,Primary,Private,99,Biiso
266,2022,Secondary,Private,4,Kayunga
267,2019,Primary,Private,24,Mutunda
268,2021,Secondary,Private,4,Kayunga
269,2020,Primary,Government,12,Galiraya
270,2018,Secondary,Government,45,Kitimbwa
271,2018,Secondary,Government,0,Kayonza
272,2022,Secondary,Private,70,Mutunda
273,2021,Secondary,Government,1,Bbaale
274,2018,Secondary,Government,99,Kigumba
275,2021,Primary,Government,20,Buliisa
276,2022,Secondary,Private,20,Kayunga Town Council
277,2019,Primary,Government,20,Galiraya
278,2022,Secondary,Government,20,Mutunda
279,2022,Secondary,Government,70,Kangulumira
280,2020,Primary,Government,40,Mutunda
281,2019,Primary,Private,40,Buliisa
282,2019,Primary,Government,100,Galiraya
