,year,level,type,value,subcounty
0,2018,Secondary,Private,2,Masindi Town Council
1,2021,Primary,Government,12,Nyangahaya
2,2021,Secondary,Private,10,Karujubu
3,2021,Primary,Private,43,Nyangahaya
4,2022,Secondary,Private,9,Bwinjanga
5,2018,Secondary,Private,55,Miirya
6,2020,Primary,Private,8,Masindi Town Council
7,2019,Secondary,Government,12,Nyangahaya
8,2021,Primary,Government,40,Bwinjanga
9,2018,Secondary,Private,20,Karujubu
10,2021,Secondary,Government,2,Miirya
11,2021,Primary,Private,34,Masindi Town Council
12,2019,Secondary,Government,9,Pakanyi
13,2021,Secondary,Government,20,Nyangahaya
14,2021,Primary,Government,50,Bwinjanga
15,2020,Primary,Government,12,Nyangahaya
16,2022,Secondary,Private,30,Bwinjanga
17,2018,Secondary,Private,34,Kimengo
18,2019,Secondary,Private,36,Pakanyi
19,2021,Secondary,Government,40,Bwinjanga
20,2022,Primary,Private,40,Miirya
21,2018,Primary,Government,55,Karujubu
22,2021,Secondary,Private,18,Masindi Town Council
23,2018,Primary,Private,50,Kimengo
24,2021,Primary,Private,12,Nyangahaya
25,2021,Primary,Private,36,Miirya
26,2021,Secondary,Private,34,Miirya
27,2019,Primary,Private,2,Masindi Town Council
28,2018,Secondary,Government,18,Kimengo
29,2021,Secondary,Private,2,Kimengo
30,2020,Secondary,Government,21,Bwinjanga
31,2021,Primary,Government,15,Kimengo
32,2019,Primary,Government,33,Nyangahaya
33,2022,Primary,Government,21,Pakanyi
34,2021,Primary,Government,55,Bwinjanga
35,2019,Secondary,Government,33,Karujubu
36,2018,Primary,Private,2,Karujubu
37,2021,Secondary,Government,43,Bwinjanga
38,2019,Primary,Government,10,Karujubu
39,2018,Secondary,Government,40,Kimengo
40,2021,Secondary,Government,15,Kimengo
41,2022,Secondary,Private,30,Nyangahaya
42,2018,Secondary,Private,5,Miirya
43,2019,Primary,Government,34,Masindi Town Council
44,2018,Primary,Private,19,Masindi Town Council
45,2019,Primary,Government,21,Pakanyi
46,2021,Secondary,Government,40,Bwinjanga
47,2020,Secondary,Government,30,Miirya
48,2021,Primary,Private,10,Kimengo
49,2022,Primary,Private,33,Masindi Town Council
50,2022,Primary,Government,33,Miirya
51,2021,Primary,Private,18,Karujubu
52,2020,Secondary,Private,55,Masindi Town Council
53,2019,Primary,Government,13,Karujubu
54,2018,Secondary,Private,33,Miirya
55,2018,Primary,Government,55,Karujubu
56,2018,Secondary,Government,19,Miirya
57,2018,Secondary,Government,13,Bwinjanga
58,2018,Primary,Private,10,Kimengo
59,2022,Secondary,Government,43,Kimengo
60,2020,Primary,Government,55,Bwinjanga
61,2022,Primary,Private,21,Nyangahaya
62,2019,Secondary,Private,34,Miirya
63,2019,Primary,Government,9,Nyangahaya
64,2021,Secondary,Government,18,Kimengo
65,2022,Secondary,Private,18,Nyangahaya
66,2021,Primary,Government,33,Karujubu
67,2020,Secondary,Private,50,Masindi Town Council
68,2020,Primary,Government,13,Miirya
69,2020,Secondary,Government,40,Masindi Town Council
70,2022,Secondary,Private,21,Karujubu
71,2021,Primary,Government,30,Bwinjanga
72,2022,Secondary,Government,55,Pakanyi
73,2020,Secondary,Private,55,Masindi Town Council
74,2020,Primary,Government,40,Karujubu
75,2022,Primary,Private,10,Pakanyi
76,2021,Primary,Private,21,Kimengo
77,2019,Primary,Government,41,Kimengo
78,2020,Secondary,Private,10,Karujubu
79,2020,Primary,Government,5,Masindi Town Council
80,2022,Primary,Government,34,Kimengo
81,2020,Secondary,Private,15,Pakanyi
82,2021,Secondary,Government,15,Nyangahaya
83,2019,Secondary,Government,30,Pakanyi
84,2022,Secondary,Government,15,Kimengo
85,2019,Primary,Government,41,Karujubu
86,2021,Secondary,Government,9,Masindi Town Council
87,2020,Primary,Government,38,Bwinjanga
88,2018,Primary,Private,12,Miirya
89,2020,Primary,Private,43,Kimengo
90,2019,Secondary,Private,40,Masindi Town Council
91,2021,Primary,Private,36,Bwinjanga
92,2020,Primary,Government,12,Nyangahaya
93,2018,Secondary,Private,13,Pakanyi
94,2022,Secondary,Government,30,Masindi Town Council
95,2018,Secondary,Private,40,Masindi Town Council
96,2022,Primary,Government,36,Pakanyi
97,2021,Secondary,Government,10,Pakanyi
98,2020,Secondary,Government,41,Masindi Town Council
99,2020,Secondary,Private,19,Bwinjanga
100,2018,Secondary,Private,38,Pakanyi
101,2019,Secondary,Government,36,Kimengo
102,2019,Secondary,Government,5,Karujubu
