district_id,subcounty_id,parish_id,subcounty,parish,year,school_name,ownership,gender,p1,p2,p3,p4,p5,p6,p7,subtotal
d101,s113,,Bwijanga,Bikonzi,2014,Ikoba Boys Primary School,Government,Boys,30,41,20,34,49,35,26,235
d101,s110,,Pakanyi,Kyakamese,2014,Alimugonza Primary School,Government,Boys,101,70,97,78,58,42,22,468
d101,s110,p127,Pakanyi,Kihaguzi,2014,Bokwe Primary School,Government,Boys,82,91,82,73,68,51,25,472
d101,s111,p103,Budongo,Nyabyeya,2014,Budongo Saw Mill Primary School,Government,Boys,21,19,29,34,39,39,20,201
d101,s113,p105,Bwijanga,Kahembe,2014,Bulima Primary School,Government,Boys,62,73,62,49,57,34,21,358
d101,s111,p102,Budongo,Kasongoire,2014,Bulyango Public Primary School,Government,Boys,107,52,119,63,35,30,17,423
d101,s113,p106,Bwijanga,Kitamba,2014,Byerima Primary School,Government,Boys,35,22,38,39,43,24,11,212
d101,s113,,Bwijanga,Bikonzi,2014,Ikoba Girls Primary School,Government,Boys,0,0,0,0,0,0,0,0
d101,s113,,Bwijanga,Bikonzi,2014,Isagara Primary School,Government,Boys,48,70,50,44,38,36,28,314
d101,s113,p106,Bwijanga,Kitamba,2014,Isimba Primary School,Government,Boys,24,32,27,25,20,19,8,155
d101,s111,p104,Budongo,Kabongo,2014,Kabango Primary School,Government,Boys,247,158,240,223,120,52,49,1089
d101,s109,p130,Miirya,Bigando,2014,Kahaara Primary School,Government,Boys,46,40,33,44,31,13,16,223
d101,s111,p103,Budongo,Nyabyeya,2014,Karongo Primary School,Government,Boys,67,57,58,78,47,26,26,359
d101,s110,,Pakanyi,Kyakamese,2014,Karungi Primary School,Government,Boys,74,46,45,89,45,17,10,326
d101,s111,,Budongo,Kasenene,2014,Kasenene Primary School,Government,Boys,104,94,64,71,27,30,11,401
d101,s111,p102,Budongo,Kasongoire,2014,Kasongoire Primary School,Government,Boys,22,45,29,30,17,21,9,173
d101,s104,p124,Kimengo,Kimengo,2014,Kayera Primary School,Government,Boys,20,12,11,6,8,10,14,81
d101,s110,p127,Pakanyi,Kihaguzi,2014,Kibamba Primary School,Government,Boys,64,33,22,33,39,33,13,237
d101,s109,p130,Miirya,Bigando,2014,Kibbali Primary School,Government,Boys,35,30,35,31,25,16,13,185
d101,s110,,Pakanyi,Kyatiri,2014,Kibibira Primary School,Government,Boys,115,42,68,48,15,20,11,319
d101,s113,,Bwijanga,Bikonzi,2014,Kichandi Primary School,Government,Boys,21,18,21,26,29,17,7,139
d101,s109,p132,Miirya,Kigulya,2014,Kigezi Primary School,Government,Boys,55,54,47,63,50,25,11,305
d101,s113,p107,Bwijanga,Ntoma,2014,Kihagani Primary School,Government,Boys,15,7,5,4,6,4,2,43
d101,s113,,Bwijanga,Bikonzi,2014,Kihoole Primary School,Government,Boys,4,6,8,15,11,7,11,62
d101,s113,,Bwijanga,Rukondwa,2014,Kiina Primary School,Government,Boys,40,20,32,22,28,30,7,179
d101,s109,p132,Miirya,Kigulya,2014,Kijogoro Primary School,Government,Boys,38,29,28,30,18,11,10,164
d101,s104,,Kimengo,Kijunjubwa,2014,Kijunjubwa Primary School,Government,Boys,23,28,30,43,24,18,14,180
d101,s113,p106,Bwijanga,Kitamba,2014,Kikingura Primary School,Government,Boys,36,44,64,74,53,45,23,339
d101,s113,,Bwijanga,Bikonzi,2014,Kikuube Primary School,Government,Boys,25,27,11,25,16,16,7,127
d101,s110,,Pakanyi,Labongo,2014,Kilanyi Primary School,Government,Boys,33,23,29,38,39,16,18,196
d101,s110,,Pakanyi,Labongo,2014,Kilanyi Muslim Primary School,Government,Boys,26,28,19,23,23,18,14,151
d101,s111,p102,Budongo,Kasongoire,2014,Kimanya Primary School,Government,Boys,48,40,38,42,28,11,13,220
d101,s111,,Budongo,Nyantonzi,2014,Kimanya Upper Primary School,Government,Boys,58,56,47,49,50,37,8,305
d101,s104,,Kimengo,Kijunjubwa,2014,Kimengo Primary School,Government,Boys,44,34,27,20,23,21,15,184
d101,s109,p132,Miirya,Kigulya,2014,Kinumi Primary School,Government,Boys,64,62,52,50,53,23,17,321
d101,s109,p130,Miirya,Bigando,2014,Kinuuma Primary School,Government,Boys,68,38,34,40,32,33,13,258
d101,s111,,Budongo,Kinyara ward,2014,Kinyara Sugar Works Primary School,Government,Boys,143,136,158,168,143,175,76,999
d101,s113,,Bwijanga,Bikonzi,2014,Kinywamurara Primary School,Government,Boys,41,26,33,33,34,23,12,202
d101,s113,p105,Bwijanga,Kahembe,2014,Kisalizi Primary School,Government,Boys,45,38,55,27,35,15,12,227
d101,s110,,Pakanyi,Kyakamese,2014,Kisindizi II Primary School,Government,Boys,32,34,45,18,38,14,8,189
d101,s110,,Pakanyi,Kyakamese,2014,Kisindizi Public Primary School,Government,Boys,53,28,44,44,28,36,12,245
d101,s113,p106,Bwijanga,Kitamba,2014,Kitamba Primary School,Government,Boys,13,25,30,27,34,33,17,179
d101,s110,,Pakanyi,Kiruli,2014,Kitanyata Primary School,Government,Boys,93,83,115,79,80,56,35,541
d101,s113,,Bwijanga,Rukondwa,2014,Kitonozi Primary School,Government,Boys,34,24,30,33,29,23,14,187
d101,s109,p132,Miirya,Kigulya,2014,Kitwetwe Primary School,Government,Boys,85,58,51,47,28,27,15,311
d101,s110,,Pakanyi,Kyakamese,2014,Kiyuya Primary School,Government,Boys,50,45,47,54,63,31,21,311
d101,s109,p131,Miirya,Isimba,2014,Kyabaswa Primary School,Government,Boys,40,35,21,29,31,25,22,203
d101,s110,,Pakanyi,Kyatiri,2014,Kyatiri Primary School,Government,Boys,108,96,155,129,76,68,39,671
d101,s113,p105,Bwijanga,Kahembe,2014,Marongo Primary School,Government,Boys,28,20,21,19,22,32,19,161
d101,s113,,Bwijanga,Bikonzi,2014,Masinde CH Primary School,Government,Boys,7,11,7,5,4,0,0,34
d101,s104,,Kimengo,Kijunjubwa,2014,Miduuma Primary School,Government,Boys,30,23,27,28,32,27,11,178
d101,s113,p106,Bwijanga,Kitamba,2014,Mihembero Primary School,Government,Boys,24,24,33,41,30,29,22,203
d101,s113,p106,Bwijanga,Kitamba,2014,Miramura Primary School,Government,Boys,23,21,13,24,21,22,10,134
d101,s113,p105,Bwijanga,Kahembe,2014,Murro Primary School,Government,Boys,29,19,23,36,37,18,10,172
d101,s113,p107,Bwijanga,Ntoma,2014,Ntooma Primary School,Government,Boys,45,45,45,101,69,58,31,394
